link,handle,isin,cusip,figi,ticker,name,issuer_name,issuer_type,issuer_jurisdiction,fund,framework_link,issuance_date,maturity_date,volume_usd,volume_bond_currency,bond_currency
https://www.greenbondtransparency.com/bond-info/?handle=49af944d0d1c40e281e6f0f49e870b56,49af944d0d1c40e281e6f0f49e870b56,US833636AL76,833636AL7,BBG012J2LYL8,SQM,SQM Green Bond 2051,Sociedad Química y Minera de Chile S.A.,Non-Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=f9ddf8d55aab4e4298b72383891943eb,2021-09-10T00:00:00Z,2051-09-10T00:00:00Z,700000000,700000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=e13fb411d38e445aa8115a546717c6ce,e13fb411d38e445aa8115a546717c6ce,CL0002542372,NA,BBG00PNL7BC7,NA,Green Bond CMPC 2019,CMPC,Non-Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=4aa685fab6fe43f5bc073e2e1fe51735,2019-06-01T00:00:00Z,2029-06-01T00:00:00Z,97791631,2500000,CLF
https://www.greenbondtransparency.com/bond-info/?handle=2d8de8f14b6641838c8358b9eeb40c28,2d8de8f14b6641838c8358b9eeb40c28,BRHITCDBS001,NA,NA,CHPT11,Debêntures 12.431 - Central Hidrelétrica Palmeiras do Tocantins,ZX Participações S.A,Non-Financial Corporate,Brazil,FALSE,NA,2018-07-05T00:00:00Z,2028-04-28T00:00:00Z,4266666,16000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=266ba26a960a4367b8afe616f921de4a,266ba26a960a4367b8afe616f921de4a,BRRSANDBS048,NA,BBG00ZR6XDJ4,NA,Título Sustentável Rio Grande do Sul 1,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,Non-Financial Corporate,Brazil,FALSE,NA,2021-02-15T00:00:00Z,2028-02-15T00:00:00Z,21369506,115000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=23878660cd7440629e174e8e95ab223b,23878660cd7440629e174e8e95ab223b,PAL3009913C8,NA,NA,NA,CIFI Serie C,Corporación Interamericana para el Financiamiento de Infraestructura (CIFI),Financial Corporate,Panama,FALSE,NA,2019-11-25T00:00:00Z,2024-11-27T00:00:00Z,1000000,1000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=a30df90865b844a591bb6fbd89b25a31,a30df90865b844a591bb6fbd89b25a31,CH1142512339,NA,BBG014D2W4Q9,NA,BCI - CHF 2027,Banco de Crédito e Inversiones,Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=8dc563c540c1439a8c930ddbfada75ef,2022-01-26T00:00:00Z,2027-04-26T00:00:00Z,218000000,200000000,CHF
https://www.greenbondtransparency.com/bond-info/?handle=abe9dd05116c4c77b3bb4fae4ba7fa01,abe9dd05116c4c77b3bb4fae4ba7fa01,XS2045838039,NA,BBG00QQGQVT0,NA,CABEI´s 2019 Green Bond,Central American Bank for Economic Integration,Development Bank,Supranational,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=54743cb2f07c4d9f923a5c04c2547bb4,2019-10-31T00:00:00Z,2024-11-15T00:00:00Z,375000000,375000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=5fcd12ec5dd342389cf9fb4c48cb3f8f,5fcd12ec5dd342389cf9fb4c48cb3f8f,NA,NA,NA,WREL#2_A,WREL#2_A,Williams Caribbean Capital,Non-Financial Corporate,Barbados,FALSE,NA,2021-02-05T00:00:00Z,2024-02-05T00:00:00Z,7000000,14000000,BBD
https://www.greenbondtransparency.com/bond-info/?handle=ac18a46cd99149a4aad8929bb8729af1,ac18a46cd99149a4aad8929bb8729af1,USP5R70LAA96,NA,BBG011WG3VZ5,NA,ISA Interchile Bono verde,ISA Interchile,Non-Financial Corporate,Chile,FALSE,NA,2021-07-26T00:00:00Z,2056-06-30T00:00:00Z,1200000000,1200000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=0f91b88562524743ad5ecf105cddab89,0f91b88562524743ad5ecf105cddab89,USP14623AC98,JK8733616,NA,NA,Banco Nacional de Costa Rica 2021,Banco Nacional de Costa Rica,Development Bank,Costa Rica,FALSE,NA,2016-04-25T00:00:00Z,2021-04-25T00:00:00Z,500000000,500000000,USD
