bond_handle,bond_name,nomenclature,category,subcategory,project,location,date_allocation,date_disbursement,allocation_currency,allocated_allocation_currency,disbursed_allocation_currency,bond_currency,disbursed_bond_currency,disbursed_usd,refinancing,cofinancing_percentage
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Biguaçu S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,33356821,33356821,BRL,33356821,6419588,FALSE,0.05
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Biguaçu S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,33356821,33356821,BRL,33356821,6419588,FALSE,0.05
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,35832105,35832105,BRL,35832105,7024250,FALSE,0.07
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,35832105,35832105,BRL,35832105,7024250,FALSE,0.07
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Biguaçu S.A. - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,113861419,113861419,BRL,113861419,22320517,FALSE,0.18
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Biguaçu S.A. - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,113861419,113861419,BRL,113861419,22320517,FALSE,0.18
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Projetos de Reforços - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,27800000,27800000,BRL,27800000,5449698,FALSE,0.16
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Projetos de Reforços - 9°,Brazil,2020-12-07T00:00:00Z,2021-12-31T00:00:00Z,BRL,27800000,27800000,BRL,27800000,5449698,FALSE,0.16
675b2c75c3cf4ef5be3d6cf3421d4300,ISA CTEEP - 10ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica de Minas Gerais S.A. (Triangulo Mineiro) - 10°,Brazil,2021-02-10T00:00:00Z,2021-12-31T00:00:00Z,BRL,268923564,32270828,BRL,32270828,5974088,FALSE,0.49
675b2c75c3cf4ef5be3d6cf3421d4300,ISA CTEEP - 10ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica de Minas Gerais S.A. (Triangulo Mineiro) - 10°,Brazil,2021-02-10T00:00:00Z,2021-12-31T00:00:00Z,BRL,268923564,32270828,BRL,32270828,5974088,FALSE,0.49
